Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
9/23/2010,38.13,42.1,78.54,20.49,19.21,66.03,61.15
9/24/2010,38.46,42.96,80.12,20.85,19.62,64.76,61.75
9/27/2010,38.71,42.89,80.08,20.64,19.48,64.36,61.71
9/28/2010,39.29,43.52,80.88,20.65,19.52,64.26,62.06
9/29/2010,40,43.73,81.28,20.95,19.49,65.37,61.59
9/30/2010,41.17,43.78,81.05,20.98,19.72,65.03,61.79
10/1/2010,41.95,44.11,81.95,21.42,19.98,66.06,62.54
10/4/2010,40.82,43.65,81.31,21.14,20.05,65.56,62.19
10/5/2010,41.33,44.82,83.39,21.67,20.91,69.33,63.26
10/6/2010,41.52,45.41,83.66,22.04,20.74,69.2,63.72
10/7/2010,41.52,45.52,83.52,21.81,20.95,68.71,63.85
10/8/2010,41.92,45.44,83.94,22.01,21.07,71.67,64.38
10/11/2010,41.24,45.58,83.71,21.78,21.09,71.57,64.55
10/12/2010,41.26,45.44,83.84,21.63,21.1,71.86,64.7
10/13/2010,41.41,45.84,83.67,22.04,21.36,73.87,65.04
10/14/2010,41.02,45.98,83.9,22.12,21.39,72.91,65.3
10/15/2010,40.62,46.33,83.61,22.08,21.59,73.57,65.19
10/18/2010,41.49,46.7,84.48,22.06,21.65,73.55,66.28
10/19/2010,40.94,45.74,82.79,21.16,21.16,71.53,65.12
10/20/2010,41.1,46.71,84.02,21.61,21.54,72.37,66.01
10/21/2010,40.65,46.59,84.25,21.73,21.54,71.84,66.32
10/22/2010,40.5,47.01,84.55,21.79,21.93,72.61,66.34
10/25/2010,40.21,46.76,84.87,21.88,21.96,73.19,66.2
10/26/2010,40.65,46.78,85.15,21.61,21.92,72,66.53
10/27/2010,40.1,45.8,84.31,21.46,21.75,69.9,65.67
10/28/2010,40.6,45.42,84.44,21.57,21.74,69.18,66.22
10/29/2010,40.8,45.27,82.6,21.83,21.81,69.8,66.49
11/1/2010,40.77,44.94,81.45,21.75,21.83,71,66.95
11/2/2010,41.42,45.24,82.15,22.18,22.04,72.58,67.84
11/3/2010,42.37,45.29,82.7,21.19,22.05,73.37,67.97
11/4/2010,43.91,46.69,85.14,21.47,22.25,75.24,69.38
11/5/2010,43.79,47.12,84.98,21.55,22.38,76.32,70
11/8/2010,43.23,47.58,84.8,21.33,22.38,76.82,70.32
11/9/2010,43,47.29,83.56,21.23,22.2,76.95,70.63
11/10/2010,43.53,48.19,85.17,21.76,22.37,77.66,71.13
11/11/2010,43.68,47.94,86.09,21.62,22.45,78.03,71.83
11/12/2010,42.99,47.58,85.44,21.31,22.72,77,70.99
11/15/2010,43.04,47.32,84.86,21.25,22.74,77.11,70.48
11/16/2010,41.78,46.46,82.48,20.59,22.09,76.34,68.94
11/17/2010,41.6,46.36,82.46,20.64,22.04,76.78,69.01
11/18/2010,42.21,47.07,83.82,21.03,22.18,78.78,70.31
11/19/2010,42.03,47.2,83.94,21.2,22.26,80.06,70.54
11/22/2010,41.64,46.88,83.45,20.78,22.49,79.53,70.19
11/23/2010,40.89,46.14,81.75,20.42,22.32,77.45,68.98
